word,definition
access,v. 获取 n. 接近，入口
project,n. 工程
intention,n. 打算，意图
equivalence,n. 等值，相等
negotiate,v. 谈判，协商，交涉
disappointing,adj. 令人失望的
alternative,n. 代替品
generous,adj. 慷慨的
biological,adj. 生物的
strategy,n. 策略，战略
paradox,n. 悖论
primary,adj. 主要的，基本的
standpoint,n. 立场
grab,v. 抢先，抢占，抢夺
crucial,adj. 至关重要的
flaw,n. 缺点
depressed,adj. 萧条的
obstacle,n. 阻碍
automatic,adj. 自动的
passionate,adj. 热情的
gambling,n. 赌博
logic,n. 逻辑
theory,n. 理论
download,v. 下载
signal,n. 信号 v. 发信号，打信号
authoritative,adj. 权威的
smooth,adj. 光滑的
institution,n. 社会公共机构
vehicle,n. 车辆
plague,v. 使困扰
psychological,adj. 心理上的
shade,n. 阴凉处
persistent,adj. 持续的
voluntary,adj. 自愿的，主动的
tolerance,n. 宽容，容忍
senior,n. 老年人
individual,n. 个人
contemporary,adj. 当代的，现代的
opposite,adj. 相反的
specialize,v. 专业从事
content,n. 内容
philosopher,n. 哲学家
unrest,n. 不安定，动荡
startle,v. 吃惊
emission,n. 排放，辐射
overweight,adj. 超重的
occupation,n. 职业，工作
mainstream,n. 主流
scholarship,n. 奖学金
contract,n. 合同
cheek,n. 脸颊
interdependence,n. 相互依靠
import,n. 进口 v. 进口
fiction,n. 小说，虚构的文学作品
upbringing,n. 养育，培养，教养
preserve,v. 保护
vitally,adv. 极其重要地
masculine,adj. 男性的
advocate,v. 倡导 n. 提倡者，拥护者，鼓吹者
dust,n. 灰尘
track,n. 足迹 v. 追踪，〔循着踪迹、气味等〕找寻
confidence,n. 信心
riotous,adj. 狂暴的
sophisticated,adj. 复杂的
similar,adj. 相似的
transform,v. 改变
approve,v. 赞成，同意
session,n. 开会，会议
awareness,n. 意识
exhaust,v. 使筋疲力尽
subsidize,v. 提供补贴
grocery,n. 杂货店
ignorance,n. 无知，愚昧
intelligence,n. 智力，智慧，理解力
tiny,adj. 微小的
praise,v. 赞扬，赞美
memorize,v. 熟记，牢记
relative,adj. 相对的 n. 亲戚
breakthrough,n. 突破
incidence,n. 几率，发生率
scratch,n. 抓，划痕
harmful,adj. 有害的
undergo,v. 承受
recession,n. 衰退
extraordinary,adj. 非凡的
improper,adj. 不合适的，不适当的
marginalize,v. 边缘化，排斥
vital,adj. 重要的
fortunately,adv. 幸运地
commencement,n. 毕业典礼
fetch,v. 取回
clumsy,adj. 笨拙的，不圆滑的
establishment,n. 确立
emit,v. 发出，排出
entertaining,adj. 有趣的，使人愉快的
irregular,adj. 不规律的
psychologist,n. 心理学家
era,n. 纪元，年代
triumph,n. 胜利
detection,n. 侦查
cozy,adj. 舒适的
gallery,n. 美术馆
enormous,adj. 巨大的
obtain,v. 获得
desert,v. 抛弃
aviate,v. 驾驶飞机
determine,v. 决定
disappear,v. 不见，消失
entitle,v. 使具有权利，使具有资格
relieve,v. 解除，减轻，缓解
generosity,n. 慷慨，大方
colleague,n. 同事
undertake,v. 承担
convenient,adj. 方便的
preferentially,adv. 优先地
column,n. 专栏
affectionate,adj. 深情的，柔情的
issue,v. 发表〔声明〕 n. 问题
inquire,v. 询问
groundlessly,adv. 无缘无故地，无根据地
independently,adv. 独立地
approach,v. 靠近 n. 方法
administration,n. 管理
adversity,n. 逆境，不幸
technician,n. 技术员，技师
regular,adj. 有规律的，经常的
miscalculation,n. 算错，误算
hinder,v. 阻碍
selection,n. 选择，挑选
tide,n. 潮水
superior,adj. 上级的，较高的 n. 上级，长官
matter,v. 要紧，重要
passively,adv. 消极地
grant,v. 授予
liberation,n. 解放
observe,v. 遵守
institute,v. 建立 n. 〔从事科研或教育等的〕机构
dormitory,n. 宿舍
awful,adj. 可怕的，骇人的
emergency,n. 紧急情况
stress,n. 压力
launch,v. 发动
suppose,v. 料想，以为
remove,v. 消除，移除
exposure,n. 暴露
promote,v. 促进，提升
engage,v. 从事
uncertain,adj. 不确定的
accommodate,v. 为…提供住宿
slave,n. 奴隶
mature,adj. 成熟的
contrast,n. 对照物 v. 对比
clinic,n. 诊所
award,v. 授予
worthwhile,adj. 有价值的
cruelty,n. 残暴，残酷
threaten,v. 威胁
chemical,adj. 化学的 n. 化学制品
consistent,adj. 一致的
renew,v. 〔中止后〕重新开始，继续
takeoff,n. 起飞
innocent,adj. 无辜的
currently,adv. 当前
dropout,n. 辍学者
replace,v. 代替
sightseeing,n. 观光
honor,n. 荣誉
imitate,v. 模仿
installment,n. 分期付款
personality,n. 个性，性格
headquarter,v. 设立总部，在…设立总部
ingredient,n. 成分，原料
revenue,n. 收入
sensitive,adj. 敏感的
particular,adj. 特别的，特指的
tumor,n. 瘤
consequence,n. 结果，成果
explicitly,adv. 直接地，明确地
sway,v. 影响
technical,adj. 技术的
expert,adj. 熟练的，内行的
harm,n. 损害
imaginary,adj. 虚构的，想象的
contaminate,v. 污染，弄脏
soar,v. 猛增
solely,adv. 单独地，唯一地
tremendous,adj. 巨大的
civilization,n. 文明
tough,adj. 困难的
gift,n. 礼物
scale,n. 规模
injure,v. 使受伤
embrace,v. 拥抱
seldom,adv. 很少，罕见
performance,n. 演出
violate,v. 违反
associate,v. 把……联系起来
privacy,n. 隐私
choke,v. 使窒息
capable,adj. 能干的，有能力的
appeal,n. 呼吁 v. 吸引
careless,adj. 粗心的
hit,n. (唱片、电影或戏剧的) 成功
swallow,v. 咽下，吞下
consult,v. 咨询
preservation,n. 保存，保留
distance,n. 距离
plastic,adj. 塑料的
predict,v. 预言，预测，预告
submit,v. 提交
entertainment,n. 娱乐
critical,adj. 批评的，爱挑剔的
transaction,n. 交易，业务，事务
via,prep. 通过
insist,v. 主张，坚持
distract,v. 分心
subdivision,n. 分支
yield,v. 产生，得出〔结果、答案或资料 n. 产量
misunderstand,v. 误解
detail,n. 细节
immeasurable,adj. 无法估量的
convincing,adj. 令人信服的
donate,v. 捐赠
compare,v. 比较，对照
item,n. 〔尤指清单上、一群或一组事物中的〕一项，一件，一条
concrete,adj. 具体的
govern,v. 管理，支配
classify,v. 把…分类，把…分级
restrict,v. 限制，限定
establish,v. 建立，创办，设立
counseling,n. 咨询服务
majority,n. 多数
contact,n. 联系，接触 v. 〔写信、打电话〕联系〔某人〕
virtual,adj. 虚拟的
simplicity,n. 简单
enrollment,n. 入学人数
programming,n. 〔计算机的〕程序编写，程序设计
device,n. 装置，设备
previous,adj. 之前的
alter,v. 改变
coach,n. 教练 v. 当…的教练，训练，培训
crisis,n. 危机
interconnect,v. 相互联系
enrich,v. 丰富
poll,n. 民意调查
consent,v. 允许，同意 n. 同意，赞同
utility,n. 公用事业〔如煤气、电力等〕
poisonous,adj. 有毒的，有害的
collision,n. 冲突，抵触
rank,v. 具有…等级[地位] n. 衔，阶层
fundamentally,adv. 根本上
inflation,n. 通货膨胀
secure,v. 确保……安全
interpret,v. 解释
criticize,v. 批评
arrest,v. 逮捕
afford,v. 负担得起
implementation,n. 实现，履行
initiate,v. 开始，发起
enable,v. 使能够……
narrow,adj. 狭窄的
overcharge,v. 向……多收费
shortcut,n. 捷径，近路
leisure,n. 悠闲，空闲
original,adj. 原始的，最初的
density,n. 密度
sphere,n. 球体
margin,n. 页边的空白，页边，白边
department,n. 部门
desire,n. 渴望，欲望
legend,n. 传奇
dictator,n. 独裁者
diversity,n. 多样性
quit,v. 放弃
outgoing,adj. 开朗的
solution,n. 解决，解答，解决办法
revenge,n. 报仇
reverse,n. 相反情况
enroll,v. 注册
logically,adv. 合乎情理地，符合逻辑地
rental,n. 租金
component,n. 成分
quotation,n. 引文
faith,n. 信任
invalid,adj. 无效的
invade,v. 侵入，侵略
separately,adv. 分别地，另行
strain,v. 扭伤，拉伤
accessible,adj. 易接近的
lap,n. 〔坐着时的〕大腿部
character,n. 角色
widespread,adj. 普遍的，广泛的
rearrange,v. 重新安排
hospitalize,v. 就医
avail,v. 有益, 有帮助
instant,adj. 立即的
democratic,adj. 民主的
barely,adv. 仅仅，几乎不
vanish,v. 消失
caregiver,n. 照料者
harsh,adj. 严酷的
reliable,adj. 可靠的，可信赖的
massive,adj. (尺寸、数量、规模) 非常大的
alcohol,n. 酒精
pregnant,adj. 怀孕的
adapt,v. 适应于
bogus,adj. 假冒的
slippery,adj. 滑的
current,adj. 当前的
overwhelm,v. 压倒，战胜
stressful,adj. 充满著压力的，充满著紧张的
toothache,n. 牙痛，牙疼
eliminate,v. 消除
terminal,n. 终点站，航空站
severe,adj. 严重的
immobile,adj. 稳定的，不变的
diplomatic,adj. 外交的
candidate,n. 申请求职者
fund,n. 基金，储备
complacency,n. 自满，满足
delight,n. 高兴
inadequate,adj. 不足的，不够的
steady,adj. 稳定的，逐步的
accurate,adj. 精确的，准确的
identification,n. 身份证明
previously,adv. 事先
identical,adj. 相同的
retirement,n. 退休
commit,v. 犯罪
element,n. 要素
assess,v. 评价
hire,v. 雇佣
represent,v. 代表
overestimate,v. 对（数量）估计过高
supervision,n. 监督
expose,v. 暴露
seemingly,adv. 表面上看
assignment,n. 作业
preference,n. 偏爱
energetic,adj. 精力充沛的
application,n. 申请
moral,adj. 精神上的, 道德的
dispute,n. 辩论，争论 v. 辩论，争论
influence,n. 影响 v. 影响
illegal,adj. 非法的
esteem,n. 自尊
abundant,adj. 大量的，丰富的
survey,v. 调查
extensively,adv. 广泛地
deserve,v. 值得
crash,v. 坠落
affirm,v. 断言，声明
reputation,n. 名气，名声，名誉
degree,n. 程度
fade,v. 逐渐消失
competitor,n. 竞争者，对手
confuse,v. 使混淆，迷惑
task,n. 任务，工作
lessen,v. 减少
admit,v. 承认
bow,v. 鞠躬
division,n. 除法
literature,n. 文学，文学作品
consultant,n. 顾问
penalty,n. 惩罚
