word,definition
beddings,n. 寝具
although,conj. 尽管
effort,n. 努力
preference,n. 偏爱，倾向
beneath,prep. 在…之下 adv. 在下方
currency,n. 货币
warmth,n. 温暖
adapt,v. 使适应
rewrite,v. 改写
fourteen,num. 十四
steam,v. 蒸，散发
piano,n. 钢琴
firm,adj. 坚定的
bake,v. 烤，烘焙 n. 烤
suggest,v. 提议，建议
happily,adv. 快乐地
changeable,adj. 无常的
happen,v. 发生
stream,n. 溪流
late,adj. 晚的
hey,int. 喂！（引起注意等）
charge,n. 费用
treat,v. 治疗
simplify,v. 简化
statesman,n. 政治家
reservation,n. 预约，预订
framework,n. 框架，骨架
consider,v. 考虑
gram,n. 克
DVD,abbr. 数字化视频光盘（Digital Video Disk）
superior,adj. 上级的
achievement,n. 成就
urgent,adj. 紧急的
sense,n. 感觉，功能
foresee,v. 预见
try,v. 试图，努力
compass,n. 指南针，罗盘
headteacher,n. 中小学的校长
earn,v. 赚，赚得
collect,v. 收集
mask,n. 面具
assume,v. 假定
player,n. 运动员，比赛者
revision,n. [印刷] 修正
farm,v. 种田，务农
hive,v. 群居
year,n. 年
continue,v. 继续，延续
contradict,v. 反驳
usually,adv. 通常，经常
persuade,v. 说服，劝说
mental,adj. 精神的
hawk,v. 兜售，沿街叫卖
clothes,n. 衣服
plastic,adj. 塑料的
terrible,adj. 可怕的
bedclothes,n. 床上用品
award,v. 授予
surround,v. 围绕
humour,n. 幽默（等于humor）
hostess,n. 女主人，女老板
speaker,n. 演讲者
successful,adj. 成功的
chance,n. 机会，际遇
lid,n. 盖子
dollar,n. 美元
man,n. 人
ten,num. 十个，十 n. (Ten)人名
pay,v. 支付，付
under,prep. 低于，少于
leading,adj. 领导的
Asia,n. 亚洲
typewriter,n. 打字机
even,adj. [数] 偶数的
luggage,n. 行李
escape,v. 逃避，避开，避免
powder,n. 粉
zebra,n. [脊椎] 斑马 adj. 有斑纹的
overcoat,n. 大衣，外套
popcorn,n. 爆米花，爆玉米花
affair,n. 事情
steward,n. 管家
available,adj. 可获得的
import,n. 进口，进口货
cupboard,n. 碗柜
date,n. 日期
pollution,n. 污染
jar,n. 罐
anything,pron. 任何事
suspension,n. 悬浮
Italian,adj. 意大利的
essay,n. 散文
honest,adj. 诚实的，实在的
new,adj. 新的，新鲜的
pause,n. 暂停
sunlight,n. 日光
disturb,v. 打扰
distribute,v. 分配
stable,n. 马厩
straw,n. 稻草
therefore,adv. 因此
ankle,n. 踝关节，踝
bookstore,n. 书店（等于bookshop）
hardship,n. 困苦
butter,v. 涂黄油于
postpone,v. 使…延期
physicist,n. 物理学家
lantern,n. 灯笼
panic,n. 恐慌，惊慌
Europe,n. 欧洲
disappear,v. 消失
downtown,adv. 往闹市区
ask,v. 问，询问
amuse,v. 娱乐
criterion,n. （批评判断的）标准
shuttle,n. 航天飞机
publish,v. 出版
zoo,n. 动物园
perhaps,adv. 或许
pressure,n. 压力
viewer,n. 观察者
being,n. 存在
anxiety,n. 焦虑
atom,n. 原子
basis,n. 基础
terrify,v. 恐吓
electric,adj. 电的
disappoint,v. 使失望
toast,n. 干杯
explode,v. 爆炸，爆发
retell,v. 复述
salary,vt. 给加薪
cyclist,n. 骑自行车的人
stomachache,n. 腹痛，肚子痛
agency,n. 代理，中介
chalk,v. 用粉笔写
dignity,n. 尊严
hard,adj. 努力的
half,n. 一半
